GO ID,DO name,asimov genes, menchelab genes, both sets equal?
GO:0016491,oxidoreductase activity,551,633,FALSE
GO:0004497,monooxygenase activity,65,80,FALSE
GO:0016705,oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen,56,134,FALSE
GO:0070330,aromatase activity,1,2,FALSE
GO:0003824,catalytic activity,4583,4991,FALSE
GO:0003674,molecular_function,11599,12829,FALSE
GO:0016712,oxidoreductase activity; acting on paired donors; with incorporation or reduction of molecular oxygen; reduced flavin or flavoprotein as one donor; and incorporation of one atom of oxygen,17,20,FALSE
GO:0003700,DNA-binding transcription factor activity,1517,1681,FALSE
GO:0140110,transcription regulator activity,1789,1956,FALSE
GO:0000981,DNA-binding transcription factor activity; RNA polymerase II-specific,1424,1585,FALSE
GO:0003723,RNA binding,1396,1425,FALSE
GO:0003676,nucleic acid binding,2522,2635,FALSE
GO:0097159,organic cyclic compound binding,2606,3351,FALSE
GO:1901363,heterocyclic compound binding,0,3285,FALSE
GO:0005488,binding,7340,7861,FALSE
GO:0061659,ubiquitin-like protein ligase activity,0,170,FALSE
GO:0016740,transferase activity,1974,2083,FALSE
GO:0019787,ubiquitin-like protein transferase activity,376,383,FALSE
GO:0140096,catalytic activity; acting on a protein,0,1984,FALSE
GO:0061630,ubiquitin protein ligase activity,162,165,FALSE
GO:0004842,ubiquitin-protein transferase activity,352,358,FALSE
GO:0001067,regulatory region nucleic acid binding,712,742,FALSE
GO:0000976,transcription regulatory region sequence-specific DNA binding,592,621,FALSE
GO:0044212,transcription regulatory region DNA binding,711,741,FALSE
GO:0000977,RNA polymerase II regulatory region sequence-specific DNA binding,537,564,FALSE
GO:0043565,sequence-specific DNA binding,313,846,FALSE
GO:0001012,RNA polymerase II regulatory region DNA binding,5,567,FALSE
GO:0000978,RNA polymerase II proximal promoter sequence-specific DNA binding,361,374,FALSE
GO:0003677,DNA binding,919,1356,FALSE
GO:0003690,double-stranded DNA binding,154,739,FALSE
GO:0000987,proximal promoter sequence-specific DNA binding,30,393,FALSE
GO:1990837,sequence-specific double-stranded DNA binding,52,655,FALSE
GO:0001227,DNA-binding transcription repressor activity; RNA polymerase II-specific,80,200,FALSE
GO:0000982,transcription factor activity; RNA polymerase II proximal promoter sequence-specific DNA binding,312,330,FALSE
GO:0001078,proximal promoter DNA-binding transcription repressor activity; RNA polymerase II-specific,125,132,FALSE
GO:0003712,transcription coregulator activity,479,488,FALSE
GO:0003714,transcription corepressor activity,199,208,FALSE
GO:0016874,ligase activity,135,142,FALSE
GO:0016877,ligase activity; forming carbon-sulfur bonds,37,40,FALSE
GO:0019780,FAT10 activating enzyme activity,1,1,TRUE
GO:0008641,ubiquitin-like modifier activating enzyme activity,10,10,TRUE
GO:0043169,cation binding,789,922,FALSE
GO:0046872,metal ion binding,787,829,FALSE
GO:0005509,calcium ion binding,278,298,FALSE
GO:0043167,ion binding,900,1780,FALSE
GO:0008289,lipid binding,475,513,FALSE
GO:0005544,calcium-dependent phospholipid binding,47,49,FALSE
GO:0043168,anion binding,155,1126,FALSE
GO:0005543,phospholipid binding,323,333,FALSE
GO:0008429,phosphatidylethanolamine binding,9,9,TRUE
GO:0070405,ammonium ion binding,0,66,FALSE
GO:0031210,phosphatidylcholine binding,24,24,TRUE
